Company,Country,Funding Amount USD,Stage,Date,Sub-sector,Lead Investor,Co-investors,Website,Included From
Qureos,UAE,"3,000,000",Pre-Seed,8 May 2022 ( newsletter referencing Q1 2022 funding),Eh / recruitment marketplace - learning-to-earning platform,"COTU Ventures, Collee Capital (listed as lead/major investors)","Globivest, Plutus21 Capital, Dubai Angel Investors and others","qureos.com appears in later databases, but URL is not printed in the / snippet itself; treated as not specified for this table",Pasted text(1).txt
Right Farm,UAE,"2,800,000",Seed,10 Apr 2022,Agritech / fresh-produce sourcing platform for foodservice & retail,"DisruptAD (ADQ's venture platform), Enhance Ventures (co-led)",None others named in The National report,Not specified (URL not printed in article),Pasted text(1).txt
Sentient Labs,UAE,85 million,Seed,Jul 2024,Web3 / AI / blockchain,"Founders Fund, Pantera Capital, Framework Ventures","Arrington Capital, Canonical, Dao5, Delphi, Dispersion, Ethereal, Folius, Foresight, Hack VC, Hashkey, Hypersphere, IDG, Mirana, Nomad, Primitive Ventures, Protagonist, Republic, Robot Ventures, Sky9, Spartan, Symbolic Capital, Topology, others",Not stated,Pasted text (4).txt
Stake,UAE,14 million,Series A,Jun 2024,Proptech / fractional property investment,Middle East Venture Partners,"Mubadala, Wa'ed Ventures, Republic",Not stated,Pasted text (4).txt; Pasted text (5).txt
Stake,UAE,14M,Series A,Jun 2024,Wealthtech/real-estate investing,MEVP,Wa'ed Ventures; Mubadala,https://stake.properties,original_csv
Tabby,UAE,200M,Series D,Dec 2023,BNPL/payments,Wellington Management,STV; Mubadala; PayPal Ventures,https://tabby.ai,original_csv
Tabby,UAE,58M,Series C,Jan 2023,BNPL/payments,"Sequoia Capital India, STV",PayPal Ventures; Mubadala; Arbor Ventures,https://tabby.ai,original_csv
The Cloud,UAE,12 million,Series B (first close),Feb 2024,Cloud kitchen / fooh,MENA Moonshots,Aluna Partners (debt financing),Not stated,Pasted text (4).txt
Wafeq,UAE,7.5M,Series A,Dec 2024,Accounting/payroll/e-invoicing fintech,9900 Capital,Gary Turner; Raed Ventures,https://wafeq.com,original_csv
Wafeq,UAE,7.5 million,Series A,Nov 2024,Fintech / accounting software,9900 Capital,"Capital, others not fully visible in snippet",Not stated,Pasted text (4).txt
Wize,UAE,"16,000,000",Pre-Seed,14 Nov 2023,Mobility / logistics / greentech - sustainable last-mile delivery platform,MENA-focused angel investors (round described as co-led by a group of angel investors; individual names not fully disclosed in /press snippets),Additional unnamed angel and strategic investors,Not specified in the cited pieces (no URL printed),Pasted text(1).txt
XPANCEO,UAE,"40,000,000 (Seed; 2023 figure mentioned in later databases summarising UAE funding)",Seed,16 Oct 2023 (as per UAE funding lists for 2023),Deeptech / hardware - smart contact lens / advanced wearable tech,Investor names and breakdown are not detailed in the open summary list used,Not disclosed in the freely accessible table consulted,xpanceo.com appears in the same funding database entry but the underlying article referenced in that table is not directly accessible from here,Pasted text(1).txt
YallaMarket,UAE,"2,300,000",Pre-Seed,31 Oct 2021 ( Arabic piece date),Quick-commerce / e-grocery; 15-minute grocery delivery,", Dubai Angel Investors (co-led)","""Key MENA-focused angel investors"" (not individually named)",Not specified (website not mentioned in / pieces),Pasted text(1).txt
YAP,UAE,41M,Venture round,Jul 2022,Digital banking,Aljazira Capital,Abu Dawood Group,https://yap.com,original_csv
Zenda,UAE,"9,400,000",Seed,23 Apr 2022 ( article date),Fintech / eh - school-fee payments and collections,STV,"COTU Ventures, Global Founders Capital, VentureSouq and other participants",Not specified in sources cited (no URL printed),Pasted text(1).txt
Zest Equity,UAE,"3,800,000",Seed,8 Oct 2023 (round described as October 2023),Fintech / private-markets infrastructure - digitising private market transactions,Middle East Venture Partners (MEVP),"Dubai Future District Fund (DFDF), DASH Ventures; earlier backers include 500 Sanabil, Nuwa Capital and regional angels",Not specified in cited items; corporate URL not printed in the articles referenced,Pasted text(1).txt
Ziina,UAE,22 million,Series A,Aug 2024,Payments / consumer & SME finance,Altos Ventures,"Fintech Collective, Avenir Growth, Activant Capital, Y Combinator, FJ Labs, MEVP, Jabbar Internet Group",Not stated,Pasted text (5).txt
Ziina,UAE,22M,Series A,Sep 2024,Payments/wallet,Altos Ventures,Fintech Collective; Avenir; Activant,https://ziina.com,original_csv
Zywa (pre-Seed),UAE,"1,000,000",Pre-Seed,Feb 2022 (round referenced as closed in Feb),Fintech - teen neobank / banking app for Gen Z in MENA,"Not explicitly labeled ""lead"" in articles; the pre-Seed is mentioned mainly as prior round before Seed",Early investors not fully itemised in cited pieces,zywa.co,Pasted text(1).txt
Zywa (Seed),UAE,"3,000,000",Seed,22 Aug 2022,Fintech - teen-focused neobank / money app,"Goodwater Capital, Dubai Future District Fund (DFDF)","Rebel Fund, Trampoline Venture Partners, Zemu VC, European family offices and strategic angels",zywa.co,Pasted text(1).txt
