deal_id,company_name,country,city,date,stage,amount_usd,disclosed,sector,description,founded_year,website,lead_investor,co_investors,investor_types,source,notes
GCC0032,Revibe,UAE,,2024-12,Series A,7000000,TRUE,E-commerce & Retail,,,,,,,News — Google News — Series A GCC,REVIEW | UAE’s Revibe Raises USD 17M to Expand Refurbished Electronics Marketplace - waya.media | https://news.google.com/rss/articles/CBMilwFBVV95cUxPOWxaUGRFVHJ1MVVmSWdnbVR6aUR
GCC0033,Units,Saudi Arabia,,2024-11,Seed,133059,TRUE,Logistics & Supply Chain,Warehousing and logistics solutions,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0034,Colada,Saudi Arabia,,2024-11,Seed,133059,TRUE,Other,Consumer tech platform,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0035,Devsy,Saudi Arabia,,2024-11,Seed,133059,TRUE,SaaS & Enterprise Software,AI-powered talent acquisition platform,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0036,Zofa,Saudi Arabia,,2024-11,Seed,133059,TRUE,Healthtech,Digital clinic management platform,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0037,CAMION,Saudi Arabia,,2024-11,Seed,133059,TRUE,Logistics & Supply Chain,Digital freight management platform,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0038,Cyberni,Saudi Arabia,,2024-11,Seed,133059,TRUE,SaaS & Enterprise Software,Cybersecurity SaaS platform,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0039,dPhish,Saudi Arabia,,2024-11,Seed,133059,TRUE,SaaS & Enterprise Software,Anti-phishing and cybersecurity SaaS,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0040,Mrrha,Saudi Arabia,,2024-11,Seed,133059,TRUE,E-commerce & Retail,Community-based online marketplace,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0041,Fezlee,Saudi Arabia,,2024-11,Seed,133059,TRUE,Logistics & Supply Chain,Shipping aggregator platform,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0042,Hollat,Saudi Arabia,,2024-11,Seed,133059,TRUE,SaaS & Enterprise Software,CRM platform for SMEs,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0043,Sakan,Kuwait,Kuwait City,2024-10,Series A,12000000,TRUE,Proptech,Real estate commerce and shopping platform,,,,,VC,Perplexity — Fund Portfolio Research,
GCC0044,Ziina,UAE,Dubai,2024-09,Series A,22000000,TRUE,Fintech,,,,,,,News — TechCrunch Middle East,REVIEW | Ziina banks $22M as growth explodes for the UAE-based fintech for small businesses | https://techcrunch.com/2024/09/02/ziina-banks-22m-as-growth-explodes-for-the-uae
GCC0045,IO Kitchens,Oman,,2024-09,Seed,2800000,TRUE,Deep Tech & AI,,,,,,,News — Google News — seed GCC 2024,REVIEW | Oman-based IO Kitchens Raises USD 2.8M in Seed Round - waya.media | https://news.google.com/rss/articles/CBMifEFVX3lxTE92NWRiaVFpOU9UQVNqVE9Wd3Y4ZzJ
GCC0046,Bazzar Gate,Kuwait,Kuwait City,2024-09,Seed,1000000,TRUE,E-commerce & Retail,Online commerce and shopping marketplace,,,,,VC,Perplexity — Fund Portfolio Research,
GCC0047,E Daddy,UAE,,2024-08,Growth,15000000,TRUE,Media & Entertainment,,,,,,,News — Google News — seed GCC 2024,REVIEW | UAE Mobility Startup E Daddy Lands USD15M Investment - waya.media | https://news.google.com/rss/articles/CBMifEFVX3lxTFBrTDNHR3VYQzQyUmtkTHlMNC1nQ1V
GCC0048,Waves,Kuwait,Kuwait City,2024-06,Seed,,FALSE,SaaS & Enterprise Software,B2B technology software platform,,,,,VC,Perplexity — Fund Portfolio Research,
GCC0049,Stake,UAE,Dubai,2024-06,Series A,14000000,TRUE,Proptech,Real estate fintech platform for fractional property investing,,,MEVP,"Wa'ed Ventures, Mubadala Investment Company, Al Jomaih Holding, Republic",,News — TechCrunch Middle East,REVIEW | Dubai-based Stake raises $8 million to let people across the globe invest in local properties | https://techcrunch.com/2022/08/29/dubai-based-stake-raises-8-million-to-let-peop
GCC0050,Tenderd,UAE,Dubai,2024-06,Series A,30000000,TRUE,SaaS & Enterprise Software,Heavy equipment management and emissions intelligence platform,,,A.P. Moller Holding,"Wa'ed Ventures, Nakhla Ventures, Soma Capital",VC,Perplexity — Fund Portfolio Research,
GCC0051,RemotePass,UAE,,2024-03,Series A,5500000,TRUE,SaaS & Enterprise Software,,,,,,,News — Google News — Series A GCC,REVIEW | UAE-based HRtech startup RemotePass raises $5.5M in Series A funding - YourStory.com | https://news.google.com/rss/articles/CBMikAFBVV95cUxOZXBUWl9tOUw0X3Z3Z2Z0M3BCMm9
GCC0052,Mushtari,Kuwait,Kuwait City,2024-02,Seed,200000,TRUE,E-commerce & Retail,Online marketplace platform,,,,,VC,Perplexity — Fund Portfolio Research,
GCC0053,Bookr,Kuwait,Kuwait City,2024-02,Seed,,FALSE,Other,Consumer apps and services,,,,,VC,Perplexity — Fund Portfolio Research,
GCC0054,Karty,Qatar,,2024-01,Seed,2000000,TRUE,Fintech,,,,,,,News — Google News — seed GCC 2024,REVIEW | Qatari fintech Karty raises $2 million Seed round - Wamda | https://news.google.com/rss/articles/CBMiiAFBVV95cUxOMktwbERCeTQxYi1YZ1ZWcUpsNnQ
GCC0055,Hakbah,Saudi Arabia,Riyadh,2023-12,Series A,5100000,TRUE,Fintech,Social savings and investment platform,,,VentureSouq,"M-Capital, Bunat Ventures, Global Ventures, Aditum Investment Management",VC,Perplexity — Fund Portfolio Research,
GCC0056,Tamara,Saudi Arabia,Riyadh,2023-12,Series C+,340000000,TRUE,Fintech,Buy-now-pay-later and shopping platform across Saudi Arabia and GCC,,,SNB Capital,Sanabil Investments,VC,Perplexity — Fund Portfolio Research,
GCC0057,Raha,Kuwait,Kuwait City,2023-11,Series A,7000000,TRUE,Logistics & Supply Chain,E-grocery and logistics platform,,,Soor Capital,"eWTP Arabia Capital, Aujan Enterprises, Cedar Mundi Ventures",VC,Perplexity — Fund Portfolio Research,
GCC0058,Zest Equity,UAE,,2023-10,Seed,3800000,TRUE,Fintech,,,,,,,News — Google News — UAE funding,"REVIEW | Zest Equity, a UAE-based startup digitizing private market deals, raises $3.8M seed funding - TechCr | https://news.google.com/rss/articles/CBMia0FVX3lxTE1EYzlzZDIxUVBna05Ud282MmZnbF9"
GCC0059,Kem,Kuwait,,2023-09,Pre-Seed,1000000,TRUE,Fintech,P2P instant payments platform,,,Maqamees Holdings,,VC,Perplexity — Fund Portfolio Research,
GCC0060,Rewaa,Saudi Arabia,Riyadh,2023-08,Series A,27000000,TRUE,SaaS & Enterprise Software,"Retail SaaS for inventory, POS and accounting",,,Wa'ed Ventures,"STC CIF, Graphene Ventures, Sadu Capital, Vision Ventures, Khwarizmi Ventures, Derayah VC",VC,Perplexity — Fund Portfolio Research,
GCC0061,Snoonu,Qatar,Doha,2023-05,Series B,12000000,TRUE,E-commerce & Retail,Super app for e-commerce and Q-commerce,,,Qatar Development Bank,Undisclosed investors,VC,Perplexity — Fund Portfolio Research,
GCC0062,Qlub,UAE,,2023-03,Seed,25000000,TRUE,Fintech,,,,,,,News — Google News — Series A GCC,REVIEW | UAE’s fintech Qlub raises $25 million - Wamda | https://news.google.com/rss/articles/CBMickFVX3lxTE1feGhsdVlhTkxFNk03cGJLekduRm1
GCC0063,nealthy,UAE,Dubai,2023-02,Pre-Seed,1300000,TRUE,Deep Tech & AI,,,,,,,News — Google News — raises million Gulf,REVIEW | Dubai Web3 startup nealthy raises $1.3M pre-seed funding - YourStory.com | https://news.google.com/rss/articles/CBMijwFBVV95cUxNZEVLczhvZkpMem84R2I5dm11Zmp
GCC0064,Wafeq,UAE,,2023-01,Seed,3000000,TRUE,SaaS & Enterprise Software,SME accounting and fintech SaaS,,,Raed Ventures,Wamda Capital,VC,Perplexity — Fund Portfolio Research,
GCC0065,Tabby,UAE,Dubai,2023-01,Series C+,58000000,TRUE,Fintech,Buy-now-pay-later fintech platform operating across UAE and Saudi Arabia,,,STV,Sequoia Capital India,VC,Perplexity — Fund Portfolio Research,
GCC0066,KitchenimiKs,Oman,,2022-12,Seed,1700000,TRUE,Food & Agritech,F&B and cloud kitchen platform,,,Angel investors,,VC,Perplexity — Fund Portfolio Research,
GCC0067,Qashio,UAE,,2022-11,Seed,10000000,TRUE,Fintech,,,,,,,News — Google News — Series A GCC,"REVIEW | Qashio, UAE’s FinTech startup, raises $10 million in a seed round - waya.media | https://news.google.com/rss/articles/CBMiiAFBVV95cUxOOTBLdE9mdWt5MUcxdzB3NEVzdEF"
GCC0068,baraka,UAE,,2022-10,Series A,20000000,TRUE,Fintech,,,,,,,News — Google News — Series A GCC,REVIEW | UAE fintech baraka raises $20m Series A funding round - Gulf Business | https://news.google.com/rss/articles/CBMiiwFBVV95cUxNRFJFa0hGQVpVSFpOOGFvb2JhVUx
GCC0069,The Cloud,UAE,,2022-09,Series A,10000000,TRUE,Food & Agritech,,,,,,,News — Google News — Series A GCC,REVIEW | UAE-based Cloud Kitchens Startup The Cloud Raises USD12M in Funding - waya.media | https://news.google.com/rss/articles/CBMinAFBVV95cUxOWG5hZUttOURFOGItNU11TGZ5T1p
GCC0070,Faceki,Bahrain,,2022-08,Seed,,FALSE,SaaS & Enterprise Software,Identity verification and fraud protection platform,,,Nama Ventures,,VC,Perplexity — Fund Portfolio Research,
GCC0071,Tamara,Saudi Arabia,Riyadh,2022-08,Series B,100000000,TRUE,Fintech,Buy-now-pay-later and shopping platform across Saudi Arabia and GCC,,,Sanabil Investments,Coatue,VC,Perplexity — Fund Portfolio Research,
GCC0072,Karty,Qatar,Doha,2022-07,Pre-Seed,1180000,TRUE,Fintech,Personal finance and spend management app,,,Visa,"Qatar Development Bank, Qatar Foundation, angel investors",VC,Perplexity — Fund Portfolio Research,
GCC0073,Pure Harvest,UAE,,2022-06,Undisclosed,181000000,TRUE,Deep Tech & AI,,,,,,,News — Google News — raises million Gulf,REVIEW | Billionaire Olayan family backs UAE’s Pure Harvest in $181m fundraise - AgFunderNews | https://news.google.com/rss/articles/CBMimwFBVV95cUxQMTMyMFNLU3M5SnFEbzZIdEp6VDB
GCC0074,Raha,Kuwait,Kuwait City,2022-04,Seed,6700000,TRUE,Logistics & Supply Chain,E-grocery and logistics platform,,,Undisclosed regional investors,,VC,Perplexity — Fund Portfolio Research,
GCC0075,Mozn,Saudi Arabia,Riyadh,2022-02,Series A,10000000,TRUE,Deep Tech & AI,,,,Raed Ventures,VentureSouq,VC,Perplexity — Fund Portfolio Research,
GCC0076,Pypl,UAE,,2022-02,Series A,11000000,TRUE,Fintech,,,,,,,News — Google News — UAE funding,REVIEW | UAE-based Blockchain Payments Startup Pypl Raises $11 Million - Financial IT | https://news.google.com/rss/articles/CBMiqgFBVV95cUxQV1c5VDNRMk9yMTNWaVpwcTV3a1V
GCC0077,TruKKer,Saudi Arabia,Riyadh,2022-01,Series B,96000000,TRUE,Logistics & Supply Chain,,,,ADQ,"Mubadala, Riyad Taqnia Fund, Shorooq Partners, 500 Global",VC,Perplexity — Fund Portfolio Research,
GCC0078,Lamaa,Saudi Arabia,Riyadh,2021-12,Seed,5500000,TRUE,Fintech,,,,Raed Ventures,Wa'ed Ventures,VC,Perplexity — Fund Portfolio Research,
GCC0079,Tabby,UAE,Dubai,2021-08,Series B,50000000,TRUE,Fintech,Buy-now-pay-later fintech platform operating across UAE and Saudi Arabia,,,Global Founders Capital,"STV, Global Founders Capital, Delivery Hero, Arbor Ventures, Raed Ventures, MSA Capital, VentureSouq, Global Ventures, Mubadala",VC,Perplexity — Fund Portfolio Research,
GCC0080,SkipCash,Qatar,Doha,2021-07,Seed,1920000,TRUE,Fintech,Digital payments platform,,,Private Qatari investors,Local angels,VC,Perplexity — Fund Portfolio Research,
GCC0081,Sarwa,UAE,Abu Dhabi,2021-07,Series B,15000000,TRUE,Fintech,,,,Mubadala Investment Company,"HALA Ventures, 500 Global, MEVP",VC,Perplexity — Fund Portfolio Research,
GCC0082,Kitopi,UAE,Dubai,2021-07,Series C+,415000000,TRUE,Food & Agritech,,,,SoftBank Vision Fund 2,BECO Capital,VC,Perplexity — Fund Portfolio Research,
GCC0083,Snoonu,Qatar,Doha,2021-04,Series A,5000000,TRUE,E-commerce & Retail,Super app for e-commerce and delivery,,,Qatar Development Bank,Undisclosed investors,VC,Perplexity — Fund Portfolio Research,
GCC0084,HALA,Saudi Arabia,Riyadh,2021-03,Series A,6500000,TRUE,Fintech,,,,Impact46,Raed Ventures,VC,Perplexity — Fund Portfolio Research,
GCC0085,Lendo,Saudi Arabia,Riyadh,2021-03,Series A,7200000,TRUE,Fintech,,,,Derayah Ventures,"Shorooq Partners, Impact46, 500 Global",VC,Perplexity — Fund Portfolio Research,
GCC0086,NymCard,UAE,Abu Dhabi,2021-02,Series A,7600000,TRUE,Fintech,,,,Shorooq Partners,"OTF Jasoor Ventures, VentureSouq",VC,Perplexity — Fund Portfolio Research,
GCC0087,Spendwisor,Qatar,Doha,2021-01,Pre-Seed,1000000,TRUE,Fintech,Payments and loyalty fintech platform,,,Local angel investors,,VC,Perplexity — Fund Portfolio Research,
GCC0088,CWallet,Qatar,Doha,2021-01,Seed,220000,TRUE,Fintech,Payroll and remittance wallet platform,,,MBK Holding,"360 Nautica, Snoonu Holding",VC,Perplexity — Fund Portfolio Research,
GCC0089,Dibsy,Qatar,Doha,2021-01,Pre-Seed,300000,TRUE,Fintech,Digital payments gateway,,,Local angel investors,,VC,Perplexity — Fund Portfolio Research,
GCC0090,eMushrif,Oman,,2020-12,Series A,2300000,TRUE,SaaS & Enterprise Software,IoT smart bus and school transport management,,,IDO Investments,"Phaze Ventures, OTF Jasoor Ventures, Dtec Ventures, Myrad Holding",VC,Perplexity — Fund Portfolio Research,
GCC0091,Tabby,Bahrain,,2020-12,Series A,23000000,TRUE,Fintech,Buy-now-pay-later fintech platform operating across UAE and Saudi Arabia,,,,,,News — Google News — GCC venture,REVIEW | Tabby raises $23 million in one of GCC’s largest Series-A round - StartUp Bahrain | https://news.google.com/rss/articles/CBMimAFBVV95cUxORkpadF90V0EwUVdLeTBLOFg0NGl
GCC0092,Floward,Kuwait,Kuwait City,2020-10,Series A,2750000,TRUE,E-commerce & Retail,Online flowers and gifts e-commerce platform,,,Impact46,"Faith Capital, BNK",VC,Perplexity — Fund Portfolio Research,
GCC0093,Kaykroo,UAE,Dubai,2020-10,Undisclosed,4000000,TRUE,Food & Agritech,,,,,,,News — Google News — raises million Gulf,REVIEW | Dubai-based cloud kitchen startup Kaykroo raises $4m in new funding - Gulf Business | https://news.google.com/rss/articles/CBMilwFBVV95cUxNc3JjRGYzTDBSVWU5ZExTR3JvOG5
GCC0094,Eyewa,UAE,Dubai,2020-08,Series A,2500000,TRUE,E-commerce & Retail,,,,Wamda Capital,Nuwa Capital,VC,Perplexity — Fund Portfolio Research,
GCC0095,Lean Technologies,Saudi Arabia,Riyadh,2020-07,Seed,3500000,TRUE,Fintech,,,,Raed Ventures,"Shorooq Partners, Global Ventures",VC,Perplexity — Fund Portfolio Research,
GCC0096,Rise,UAE,Dubai,2020-03,Undisclosed,1400000,TRUE,Deep Tech & AI,,,,,,,News — Google News — GCC venture,REVIEW | Dubai’s Rise raises $1.4 million investment to provide financial services to low-income migrants in  | https://news.google.com/rss/articles/CBMiVEFVX3lxTE5NRFVUVXFXcklKVDFFN0phc3pfeUZ
GCC0097,Baims,Kuwait,Kuwait City,2020-03,Seed,,FALSE,Edtech,Online learning and edtech platform,,,AlWazzan Education,Seeds Partners,VC,Perplexity — Fund Portfolio Research,
GCC0098,Nana,Saudi Arabia,Riyadh,2020-03,Series B,18000000,TRUE,E-commerce & Retail,,,,STV,"MEVP, Wamda Capital",VC,Perplexity — Fund Portfolio Research,
GCC0099,SellAnyCar.com,UAE,,2020-02,Series C+,35000000,TRUE,Deep Tech & AI,,,,,,,News — Google News — GCC venture,REVIEW | UAE’s SellAnyCar.com Raises $35 Million in Funding - waya.media | https://news.google.com/rss/articles/CBMid0FVX3lxTE00MS1YYzZBN0o0Mm5nSE1RT1BjV3J
GCC0100,Seez,UAE,Dubai,2020-02,Series A,6000000,TRUE,Deep Tech & AI,,,,,,,News — Google News — Series A GCC,"REVIEW | Dubai’s Seez raises $6 million Series A to make car buying easy in UAE, Kuwait, Saudi & Pakistan - M | https://news.google.com/rss/articles/CBMiUkFVX3lxTE5nY2ZfdjdsNmd1VHF6SGt1d05wd3p"
GCC0101,Carzaty,Oman,,2019-12,Growth,4000000,TRUE,E-commerce & Retail,Automotive e-commerce platform,,,IDO Investments,,VC,Perplexity — Fund Portfolio Research,
GCC0102,Invygo,UAE,Dubai,2019-11,Seed,1000000,TRUE,Logistics & Supply Chain,,,,,,,News — Google News — raises million Gulf,"REVIEW | Dubai-based car subscription startup Invygo raises $1 million seed, plans expansion to Saudi & Bahra | https://news.google.com/rss/articles/CBMiT0FVX3lxTE1YNXlGemJMWTFscnpKTU9xcDVWYlR"
GCC0103,TruKKer,Saudi Arabia,Riyadh,2019-10,Series A,,FALSE,Logistics & Supply Chain,Digital freight and logistics platform,,,STV,"Riyad Taqnia Fund, Raed Ventures, Vision Ventures",VC,Perplexity — Fund Portfolio Research,
GCC0104,GuestReady,UAE,Dubai,2019-06,Series A,6000000,TRUE,Proptech,,,,,,,News — Google News — GCC venture,"REVIEW | GuestReady, a short-term rental management startup with presence in Dubai raises $6 million from Ven | https://news.google.com/rss/articles/CBMiW0FVX3lxTE5keFdEay1lcWNQQmJ5eTcwTHZORU1"
GCC0105,ProTenders,UAE,Dubai,2019-04,Seed,3000000,TRUE,SaaS & Enterprise Software,,,,,,,News — Google News — raises million Gulf,REVIEW | Dubai’s ProTenders raises $3 million Pre-Series A for its construction intelligence and procurement  | https://news.google.com/rss/articles/CBMiX0FVX3lxTFA5VDgwZGZxWmRYWE5uZUlRdTFfVUt
GCC0106,Nana,Saudi Arabia,Riyadh,2019-02,Series A,6600000,TRUE,E-commerce & Retail,Online grocery delivery platform,,,MEVP,"Impact46, SVC, Wamda Capital",VC,Perplexity — Fund Portfolio Research,
GCC0107,JustClean,Kuwait,Kuwait City,2019-02,Series A,8000000,TRUE,Logistics & Supply Chain,On-demand laundry marketplace and logistics SaaS,,,Faith Capital,,VC,Perplexity — Fund Portfolio Research,
GCC0108,COFE App,Kuwait,Kuwait City,2019-02,Seed,3200000,TRUE,Food & Agritech,Coffee marketplace and foodtech platform,,,KISP Ventures,"Cedar Mundi, Towell Holding, Takamul Capital, Dividend Gate Capital",VC,Perplexity — Fund Portfolio Research,
