deal_id,company_name,country,city,date,stage,amount_usd,disclosed,sector,description,founded_year,website,lead_investor,co_investors,investor_types,source,notes
GCC0033,Lola,Bahrain,,2025-02,Pre-Seed,1300000,TRUE,Food & Agritech,,,,,,,News — Google News — seed GCC 2024,REVIEW | Bahrain’s Foodtech Lola secures 1.3M Pre-Seed funding for GCC expansion - StartUp Bahrain | https://news.google.com/rss/articles/CBMipAFBVV95cUxQTTlwZ1ZYeVFrcjNERUp5TW9GdVp
GCC0034,Flow48,UAE,,2025-02,Undisclosed,69000000,TRUE,Fintech,,,,,,,News — Google News — Series A GCC,REVIEW | UAE fintech start-up Flow48 raises $69m in mix of debt and equity funding - FinTech Futures | https://news.google.com/rss/articles/CBMixgFBVV95cUxNWmhKdHpkNFdwY0k3eXRMR2pqWDF
GCC0035,Ula.me,Saudi Arabia,Riyadh,2025-02,Series B,28000000,TRUE,Edtech,AI-powered adaptive learning platform,,,Rua Growth Fund,Jordan Capital,VC,Perplexity — Fund Portfolio Research,
GCC0036,Retailhub,Saudi Arabia,Riyadh,2025-02,Seed,3000000,TRUE,SaaS & Enterprise Software,AI-powered retail technology platform,,,Oraseya Capital,AgFunder,VC,Perplexity — Fund Portfolio Research,
GCC0037,Sampo AI,Oman,,2025-01,Pre-Seed,750000,TRUE,Deep Tech & AI,AI SaaS for e-commerce pricing optimisation,,,Omantel Innovation Labs,"Waad Investment, Hexnture, Saudi angel investors",VC,Perplexity — Fund Portfolio Research,
GCC0038,BioSapien,UAE,,2025-01,Seed,7000000,TRUE,Healthtech,,,,,,,News — Google News — UAE funding,REVIEW | UAE biotech startup BioSapien raises $7 million pre-Series A for cancer treatment platform - MENAbyt | https://news.google.com/rss/articles/CBMiY0FVX3lxTE9iRkhQMXFsUko2NEpyNVB1QkktQUx
GCC0039,Pluto,UAE,,2025-01,Undisclosed,4099999,TRUE,Fintech,,,,,,,News — Google News — UAE funding,REVIEW | UAE-Based Fintech Startup Pluto Secures $4.1Million Pre-Series - CairoScene | https://news.google.com/rss/articles/CBMimAFBVV95cUxPcUJQbkhIaDA3Q0RLanhVUXBiRkF
GCC0040,Tern,UAE,Dubai,2025-01,Seed,1500000,TRUE,Fintech,Rent payments fintech platform,,,Oraseya Capital,Local angels,VC,Perplexity — Fund Portfolio Research,
GCC0041,BookMyPet,UAE,Dubai,2024-12,Seed,1200000,TRUE,Other,Pet care marketplace platform,,,Oraseya Capital,Strategic angels,VC,Perplexity — Fund Portfolio Research,
GCC0042,Revibe,UAE,,2024-12,Series A,7000000,TRUE,E-commerce & Retail,,,,,,,News — Google News — Series A GCC,REVIEW | UAE’s Revibe Raises USD 17M to Expand Refurbished Electronics Marketplace - waya.media | https://news.google.com/rss/articles/CBMilwFBVV95cUxPOWxaUGRFVHJ1MVVmSWdnbVR6aUR
GCC0043,BioSapien,UAE,Dubai,2024-12,Series A,5500000,TRUE,Healthtech,Life sciences and biotech platform,,,Global Ventures,Dara Holdings,VC,Perplexity — Fund Portfolio Research,
GCC0044,Wellx,UAE,Dubai,2024-12,Series A,12000000,TRUE,Healthtech,Insurtech and employee health benefits platform,,,Prosus Ventures,"Oraseya Capital, Hambro Perks Oryx Fund",VC,Perplexity — Fund Portfolio Research,
GCC0045,OCTA,Saudi Arabia,Riyadh,2024-12,Series A,20000000,TRUE,Deep Tech & AI,Quantum computing platform,,,Quantonation,"Sukna Ventures, SC Ventures, Quona Capital",VC,Perplexity — Fund Portfolio Research,
GCC0046,Aajil,Saudi Arabia,Riyadh,2024-11,Seed,9400000,TRUE,Fintech,BNPL platform for construction industry,,,Khwarizmi Ventures,"Raed Ventures, Joa Capital, Seedra Ventures, HALA Ventures",VC,Perplexity — Fund Portfolio Research,
GCC0047,dPhish,Saudi Arabia,,2024-11,Seed,133059,TRUE,SaaS & Enterprise Software,Anti-phishing and cybersecurity SaaS,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0048,Zofa,Saudi Arabia,,2024-11,Seed,133059,TRUE,Healthtech,Digital clinic management platform,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0049,CAMION,Saudi Arabia,,2024-11,Seed,133059,TRUE,Logistics & Supply Chain,Digital freight management platform,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0050,Colada,Saudi Arabia,,2024-11,Seed,133059,TRUE,Other,Consumer tech platform,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0051,Hollat,Saudi Arabia,,2024-11,Seed,133059,TRUE,SaaS & Enterprise Software,CRM platform for SMEs,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0052,Units,Saudi Arabia,,2024-11,Seed,133059,TRUE,Logistics & Supply Chain,Warehousing and logistics solutions,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0053,Fezlee,Saudi Arabia,,2024-11,Seed,133059,TRUE,Logistics & Supply Chain,Shipping aggregator platform,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0054,Mrrha,Saudi Arabia,,2024-11,Seed,133059,TRUE,E-commerce & Retail,Community-based online marketplace,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0055,Devsy,Saudi Arabia,,2024-11,Seed,133059,TRUE,SaaS & Enterprise Software,AI-powered talent acquisition platform,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0056,Cyberni,Saudi Arabia,,2024-11,Seed,133059,TRUE,SaaS & Enterprise Software,Cybersecurity SaaS platform,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0057,Tabby,UAE,Dubai,2024-11,Growth,250000000,TRUE,Fintech,Buy-now-pay-later and shopping platform across UAE and Saudi Arabia,,,Blue Pool Capital,"Hassana Investment Company, STV, Mubadala, Wellington Management, Arbor Ventures",VC,Perplexity — Fund Portfolio Research,
GCC0058,Huspy,UAE,Dubai,2024-10,Series B,30000000,TRUE,Proptech,Digital mortgage and home financing platform,,,Sequoia Capital,Founders Fund,VC,Perplexity — Fund Portfolio Research,
GCC0059,Calo,Saudi Arabia,Riyadh,2024-10,Series B,125000000,TRUE,Food & Agritech,Meal subscription and food delivery platform,,,Nuwa Capital,"STV, Khwarizmi Ventures",VC,Perplexity — Fund Portfolio Research,
GCC0060,Sakan,Kuwait,Kuwait City,2024-10,Series A,12000000,TRUE,Proptech,Real estate commerce and shopping platform,,,,,VC,Perplexity — Fund Portfolio Research,
GCC0061,Podeo,UAE,Dubai,2024-10,Series A,5400000,TRUE,Media & Entertainment,Podcast platform for Arabic content,,,Oraseya Capital,"Ibtikar Fund, Cedar Mundi Ventures, Samarium, iSME, Razor Capital",VC,Perplexity — Fund Portfolio Research,
GCC0062,ABHI,UAE,Dubai,2024-10,Growth,15000000,TRUE,Fintech,Earned wage access platform,,,Shorooq Partners,Amplify Growth Partnership,VC,Perplexity — Fund Portfolio Research,
GCC0063,Mala,Saudi Arabia,Riyadh,2024-10,Pre-Seed,7000000,TRUE,Fintech,Fintech platform,,,VentureSouq,"Shorooq Partners, M Capital, BECO Capital, Access Bridge Ventures, Waad Investment",VC,Perplexity — Fund Portfolio Research,
GCC0064,ARKTECH,Saudi Arabia,Riyadh,2024-09,Pre-Seed,1000000,TRUE,Proptech,Real estate technology platform,,,Core Vision Investment,,VC,Perplexity — Fund Portfolio Research,
GCC0065,HissaTech,Saudi Arabia,Riyadh,2024-09,Pre-Seed,670000,TRUE,Proptech,Real estate fractional ownership platform,,,Angel investors,,VC,Perplexity — Fund Portfolio Research,
GCC0066,IO Kitchens,Oman,,2024-09,Seed,2800000,TRUE,Deep Tech & AI,,,,,,,News — Google News — seed GCC 2024,REVIEW | Oman-based IO Kitchens Raises USD 2.8M in Seed Round - waya.media | https://news.google.com/rss/articles/CBMifEFVX3lxTE92NWRiaVFpOU9UQVNqVE9Wd3Y4ZzJ
GCC0067,Kanjo,UAE,Dubai,2024-09,Pre-Seed,1500000,TRUE,Healthtech,Mental health and wellness platform,,,Kalaari Capital,"Oraseya Capital, Willowtree Investments",VC,Perplexity — Fund Portfolio Research,
GCC0068,Bazzar Gate,Kuwait,Kuwait City,2024-09,Seed,1000000,TRUE,E-commerce & Retail,Online commerce and shopping marketplace,,,,,VC,Perplexity — Fund Portfolio Research,
GCC0069,Ziina,UAE,Dubai,2024-09,Series A,22000000,TRUE,Fintech,,,,Altos Ventures,"Fintech Collective, Activant Capital, Long Journey Ventures, Y Combinator, FJ Labs, MEVP, VentureSouq, 500 Global",,News — TechCrunch Middle East,REVIEW | Ziina banks $22M as growth explodes for the UAE-based fintech for small businesses | https://techcrunch.com/2024/09/02/ziina-banks-22m-as-growth-explodes-for-the-uae
GCC0070,Zoya,UAE,Dubai,2024-08,Seed,2550000,TRUE,Fintech,Islamic investing and halal finance platform,,,Cur8 Capital,"Oraseya Capital, BYLD Ventures",VC,Perplexity — Fund Portfolio Research,
GCC0071,Keno,UAE,Dubai,2024-08,Pre-Seed,550000,TRUE,Logistics & Supply Chain,Car care and mobility platform,,,Oraseya Capital,Plus VC,VC,Perplexity — Fund Portfolio Research,
GCC0072,E Daddy,UAE,,2024-08,Growth,15000000,TRUE,Media & Entertainment,,,,,,,News — Google News — seed GCC 2024,REVIEW | UAE Mobility Startup E Daddy Lands USD15M Investment - waya.media | https://news.google.com/rss/articles/CBMifEFVX3lxTFBrTDNHR3VYQzQyUmtkTHlMNC1nQ1V
GCC0073,Receiptable,UAE,Dubai,2024-07,Pre-Seed,500000,TRUE,Fintech,Receipt data and expense management platform,,,Oraseya Capital,Fintech angels,VC,Perplexity — Fund Portfolio Research,
GCC0074,Growdash,UAE,Dubai,2024-06,Seed,2500000,TRUE,SaaS & Enterprise Software,Restaurant management and analytics SaaS,,,Y Combinator,"Oraseya Capital, Plus VC",VC,Perplexity — Fund Portfolio Research,
GCC0075,Waves,Kuwait,Kuwait City,2024-06,Seed,,FALSE,SaaS & Enterprise Software,B2B technology software platform,,,,,VC,Perplexity — Fund Portfolio Research,
GCC0076,Stake,UAE,Dubai,2024-06,Series A,14000000,TRUE,Proptech,Real estate fintech platform for fractional property investing,,,MEVP,"Wa'ed Ventures, Mubadala Investment Company, Al Jomaih Holding, Republic",,News — TechCrunch Middle East,REVIEW | Dubai-based Stake raises $8 million to let people across the globe invest in local properties | https://techcrunch.com/2022/08/29/dubai-based-stake-raises-8-million-to-let-peop
GCC0077,Tenderd,UAE,Dubai,2024-06,Series A,30000000,TRUE,SaaS & Enterprise Software,Heavy equipment management and emissions intelligence platform,,,A.P. Moller Holding,"Wa'ed Ventures, Nakhla Ventures, Soma Capital",VC,Perplexity — Fund Portfolio Research,
GCC0078,Classera,Saudi Arabia,Riyadh,2024-05,Series A,40000000,TRUE,Edtech,Digital education platform for K-12,,,Sanabil Investments,"Global Ventures, Endeavor Catalyst, 500 Global, Sukna Ventures, Seedra Ventures",VC,Perplexity — Fund Portfolio Research,
GCC0079,Circa Biotech,UAE,Abu Dhabi,2024-05,Seed,1000000,TRUE,Food & Agritech,Circular economy and agritech platform,,,Oraseya Capital,Climate-focused angels,VC,Perplexity — Fund Portfolio Research,
GCC0080,HALA,Saudi Arabia,Riyadh,2024-05,Series B,17000000,TRUE,Fintech,Fintech and mobility super app,,,Undisclosed,Undisclosed,VC,Perplexity — Fund Portfolio Research,
GCC0081,RemotePass,UAE,,2024-03,Series A,5500000,TRUE,SaaS & Enterprise Software,,,,,,,News — Google News — Series A GCC,REVIEW | UAE-based HRtech startup RemotePass raises $5.5M in Series A funding - YourStory.com | https://news.google.com/rss/articles/CBMikAFBVV95cUxOZXBUWl9tOUw0X3Z3Z2Z0M3BCMm9
GCC0082,Camb.ai,UAE,Dubai,2024-03,Seed,4000000,TRUE,Deep Tech & AI,AI speech translation platform,,,Courtside Ventures,"Oraseya Capital, TRTL Ventures",VC,Perplexity — Fund Portfolio Research,
GCC0083,SiFi,Saudi Arabia,Riyadh,2024-03,Seed,10000000,TRUE,Fintech,SME finance platform,,,Sanabil Venture Studio,"Raed Ventures, 500 Global, Khwarizmi Ventures",VC,Perplexity — Fund Portfolio Research,
GCC0084,Rewaa,Saudi Arabia,Riyadh,2024-02,Series B,75000000,TRUE,SaaS & Enterprise Software,"Retail SaaS for inventory, POS and accounting",,,VentureSouq,"Raed Ventures, Wa'ed Ventures, Endeavor Catalyst",VC,Perplexity — Fund Portfolio Research,
GCC0085,Mozn,Saudi Arabia,Riyadh,2024-02,Series B,110000000,TRUE,Deep Tech & AI,Enterprise AI and data analytics platform,,,Prosperity7 Ventures,"Sanabil Investments, Sequoia Capital India",VC,Perplexity — Fund Portfolio Research,
GCC0086,Bookr,Kuwait,Kuwait City,2024-02,Seed,,FALSE,Other,Consumer apps and services,,,,,VC,Perplexity — Fund Portfolio Research,
GCC0087,Siwar,Saudi Arabia,Riyadh,2024-02,Pre-Seed,2700000,TRUE,SaaS & Enterprise Software,HR tech and employee engagement platform,,,Vision Ventures,500 Sanabil Investment,VC,Perplexity — Fund Portfolio Research,
GCC0088,Lune,UAE,Dubai,2024-02,Seed,1500000,TRUE,Fintech,Financial data infrastructure platform,,,DFDF,Plus VC,VC,Perplexity — Fund Portfolio Research,
GCC0089,Mushtari,Kuwait,Kuwait City,2024-02,Seed,200000,TRUE,E-commerce & Retail,Online marketplace platform,,,,,VC,Perplexity — Fund Portfolio Research,
GCC0090,Karty,Qatar,,2024-01,Seed,2000000,TRUE,Fintech,,,,,,,News — Google News — seed GCC 2024,REVIEW | Qatari fintech Karty raises $2 million Seed round - Wamda | https://news.google.com/rss/articles/CBMiiAFBVV95cUxOMktwbERCeTQxYi1YZ1ZWcUpsNnQ
GCC0091,Lendo,Saudi Arabia,Riyadh,2024-01,Series B,69000000,TRUE,Fintech,SME debt crowdfunding and lending platform,,,Shorooq Partners,Khwarizmi Ventures,VC,Perplexity — Fund Portfolio Research,
GCC0092,Halo Investing,Saudi Arabia,Riyadh,2024-01,Series C+,20000000,TRUE,Fintech,Wealthtech and investment platform,,,Undisclosed,Saudi Aramco Entrepreneurship Fund,VC,Perplexity — Fund Portfolio Research,
GCC0093,Kaso,UAE,Dubai,2024-01,Series A,11500000,TRUE,E-commerce & Retail,B2B food and beverage marketplace,,,Undisclosed,Undisclosed,VC,Perplexity — Fund Portfolio Research,
GCC0094,Qureos,UAE,Dubai,2024-01,Seed,3200000,TRUE,SaaS & Enterprise Software,AI-powered HR and talent platform,,,Globivest,"Oraseya Capital, 500 Global, Wamda Capital",VC,Perplexity — Fund Portfolio Research,
GCC0095,Tamara,Saudi Arabia,Riyadh,2023-12,Series C+,340000000,TRUE,Fintech,Buy-now-pay-later and shopping platform across Saudi Arabia and GCC,,,SNB Capital,Sanabil Investments,VC,Perplexity — Fund Portfolio Research,
GCC0096,Hakbah,Saudi Arabia,Riyadh,2023-12,Series A,5100000,TRUE,Fintech,Social savings and investment platform,,,VentureSouq,"M-Capital, Bunat Ventures, Global Ventures, Aditum Investment Management",VC,Perplexity — Fund Portfolio Research,
GCC0097,Lean Technologies,Saudi Arabia,Riyadh,2023-12,Series B,33000000,TRUE,Fintech,Open banking and financial data API platform,,,General Catalyst,"Bain Capital Ventures, Duquesne Family Office, Arbor Ventures, Outliers VC",VC,Perplexity — Fund Portfolio Research,
GCC0098,Xpence,UAE,Dubai,2023-11,Series A,25000000,TRUE,Fintech,Business expense management platform,,,Isomorphic Capital,"Shorooq Partners, MEVP",VC,Perplexity — Fund Portfolio Research,
GCC0099,tmam,UAE,Dubai,2023-11,Pre-Seed,340000,TRUE,Fintech,Expense management platform,,,Oraseya Capital,Angel investors,VC,Perplexity — Fund Portfolio Research,
GCC0100,Raha,Kuwait,Kuwait City,2023-11,Series A,7000000,TRUE,Logistics & Supply Chain,E-grocery and logistics platform,,,Soor Capital,"eWTP Arabia Capital, Aujan Enterprises, Cedar Mundi Ventures",VC,Perplexity — Fund Portfolio Research,
GCC0101,HALA,Saudi Arabia,Riyadh,2023-10,Series A,15700000,TRUE,Fintech,Fintech and mobility super app,,,Undisclosed,"STV, Impact46, Endeavor Catalyst, Khwarizmi Ventures, Raed Ventures",VC,Perplexity — Fund Portfolio Research,
GCC0102,Yuze,UAE,Dubai,2023-10,Seed,3000000,TRUE,Fintech,SME banking platform,,,VentureSouq,"Shorooq Partners, Alter Global, Dubai Angel Investors",VC,Perplexity — Fund Portfolio Research,
GCC0103,Soum,Saudi Arabia,Riyadh,2023-10,Series A,18000000,TRUE,E-commerce & Retail,Recommerce and pre-owned goods marketplace,,,BECO Capital,"Outliers, Jahez, Khwarizmi Ventures, Alrajhi Partners",VC,Perplexity — Fund Portfolio Research,
GCC0104,Zest Equity,UAE,,2023-10,Seed,3800000,TRUE,Fintech,,,,,,,News — Google News — UAE funding,"REVIEW | Zest Equity, a UAE-based startup digitizing private market deals, raises $3.8M seed funding - TechCr | https://news.google.com/rss/articles/CBMia0FVX3lxTE1EYzlzZDIxUVBna05Ud282MmZnbF9"
GCC0105,Kem,Kuwait,,2023-09,Pre-Seed,1000000,TRUE,Fintech,P2P instant payments platform,,,Maqamees Holdings,,VC,Perplexity — Fund Portfolio Research,
GCC0106,Sarwa,UAE,Dubai,2023-09,Series B,100000000,TRUE,Fintech,Robo-advisory and wealthtech platform,,,Mubadala Capital,Undisclosed,VC,Perplexity — Fund Portfolio Research,
GCC0107,Rewaa,Saudi Arabia,Riyadh,2023-08,Series A,27000000,TRUE,SaaS & Enterprise Software,"Retail SaaS for inventory, POS and accounting",,,Wa'ed Ventures,"Vision Ventures, Aljazira Capital, RZM Investment, Seedra Ventures",VC,Perplexity — Fund Portfolio Research,
GCC0108,Zywa,UAE,Dubai,2023-08,Pre-Seed,3000000,TRUE,Fintech,Teen banking and debit card platform,,,Y Combinator,"DFDF, Rebel Fund, Trampoline VC, Goodwater Capital, Soma Capital, Dubai Angel Investors",VC,Perplexity — Fund Portfolio Research,
GCC0109,Xpence,UAE,Dubai,2023-07,Seed,1000000,TRUE,Fintech,Business expense management platform,,,AB Ventures,"500 Global, FasterCapital",VC,Perplexity — Fund Portfolio Research,
GCC0110,Snoonu,Qatar,Doha,2023-05,Series B,12000000,TRUE,E-commerce & Retail,Super app for e-commerce and Q-commerce,,,Qatar Development Bank,Undisclosed investors,VC,Perplexity — Fund Portfolio Research,
GCC0111,Qlub,UAE,,2023-03,Seed,25000000,TRUE,Fintech,,,,,,,News — Google News — Series A GCC,REVIEW | UAE’s fintech Qlub raises $25 million - Wamda | https://news.google.com/rss/articles/CBMickFVX3lxTE1feGhsdVlhTkxFNk03cGJLekduRm1
GCC0112,Nana,Saudi Arabia,Riyadh,2023-02,Series C+,133000000,TRUE,E-commerce & Retail,Online grocery delivery platform,,,STV,"Kingdom Holding, Sultan Holdings, Dallah Albaraka, AlJammaz Group",VC,Perplexity — Fund Portfolio Research,
GCC0113,Floward,Saudi Arabia,Riyadh,2023-02,Series C+,156000000,TRUE,E-commerce & Retail,Online flowers and gifts e-commerce platform,,,Aljazira Capital,"Rainwater Partners, STV",VC,Perplexity — Fund Portfolio Research,
